Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дашкевич,Олена,Андріївна,Жіноча,17.11.2004,Ювелір,хутір Павлоград,"узвіз Покровський, буд. 7, Тячів, 35992",780-68-24,hlibarkhypenko@example.net
Гук,Михайло,Олександрович,Чоловіча,19.06.1997,Композитор,село Самбір,"узвіз 19-та Лінія, буд. 461 кв. 8, Дергачі, 77232",084-03-62,varvara93@example.com
Охримович,Володимир,Сергійович,Чоловіча,09.06.1955,Бухгалтер,місто Сокаль,"вулиця Чернігівський, буд. 12, Красилів, 03329",212-76-99,smykvolodymyr@example.net
Алексеєнко,Михайло,Андрійович,Чоловіча,26.02.1983,Ветеринар,хутір Рубіжне,"площа Лютневий 2-й, буд. 8, Самбір, 93873",+380 (60) 063-48-63,andriishynstefan@example.com
Бабʼюк,Світлана,Дмитрівна,Жіноча,09.12.1992,Фрілансер,місто Луганськ,"узвіз Економічний, буд. 30 кв. 1, Мирноград, 33297",+380 45 837 23 52,mgzhytska@example.net
Дурдинець,Катерина,Петрівна,Жіноча,24.05.1969,Музикант,село Бурштин,"площа Верф’яний, буд. 4, Ковель, 52886",+380 (14) 317-76-27,dpavlychenko@example.net
Артюх,Дмитро,Михайлович,Чоловіча,27.05.1976,Флорист,село Судак,"узвіз Миколи Кравченка, буд. 835 кв. 4, Житомир, 83970",+380 57 006 81 67,babiichukrostyslav@example.org
Затула,Віктор,Андрійович,Чоловіча,16.03.1981,Конструктор,місто Міусинськ,"шосе Володі Дубініна, буд. 65 кв. 13, Слов'янськ, 42044",+380 68 725-64-76,adam10@example.net
Носенко,Іван,Васильович,Чоловіча,02.12.1977,Архітектор,селище Ізяслав,"провулок Шампанський, буд. 35 кв. 421, Хуст, 81180",+380 85 758-11-82,snizhanapelekh@example.net
Тимченко,Андрій,Іванович,Чоловіча,12.02.2000,Редактор,село Моршин,"шосе Савицький, буд. 455 кв. 72, Сквира, 95018",270-12-61,havryliuksofiia@example.org
Щербань,Дмитро,Андрійович,Чоловіча,25.10.1957,Геолог,село Борщів,"вулиця Князя Володимира Великого , буд. 900 кв. 3, Бібрка, 86353",030 60 15,amaliia19@example.org
Тичина,Олена,Олександрівна,Жіноча,03.02.1980,Підприємець,селище Прип'ять,"набережна 40-річчя оборони Одеси, буд. 22, Лохвиця, 77673",+380 05 174-59-89,vasylyna18@example.com
Верховинець,Юлія,Дмитрівна,Жіноча,20.07.1981,Модельєр,хутір Шахтарськ,"проспект Мала Арнаутська, буд. 032, Кадіївка, 67735",570-17-61,heorhiikovaliuk@example.org
Бабак,Анна,Дмитрівна,Жіноча,19.12.1966,Стоматолог,хутір Вуглегірськ,"узвіз Китобійна, буд. 6 кв. 81, Інкерман, 77147",082 986-64-38,parmen86@example.org
Жайворон,Василь,Дмитрович,Чоловіча,12.11.1942,Випробувач,селище Володимир-Волинський,"вулиця Рачкова, буд. 048 кв. 7, Заставна, 53538",+380 26 972-56-82,shvachkaspas@example.net
Коваленко,Анна,Петрівна,Жіноча,05.02.1999,Гірник,село Перемишляни,"сквер Лірний, буд. 0, Ананьїв, 19603",351 01 77,hannadakhno@example.net
Шморгун,Дмитро,Іванович,Чоловіча,19.04.2007,Графік,село Бахмут,"набережна Прорізний, буд. 7 кв. 734, Тиврів, 54104",685 23 28,danylozaruba@example.org
Бабариченко,Василь,Михайлович,Чоловіча,26.06.2008,Мірошник,селище Кам'янка (Черкаська область),"шосе Хвиляста, буд. 9, Донецьк, 93516",+380 93 502 28 67,onysym86@example.org
Міщенко,Оксана,Андріївна,Жіноча,02.11.1942,Архітектор,хутір Гнівань,"площа Степова, буд. 1 кв. 65, Харцизьк, 67315",+380 47 872-77-29,vadym04@example.net
Лисенко,Катерина,Михайлівна,Жіноча,30.06.1976,Реабілітолог,хутір Новий Буг,"парк Сергія Ейзенштейна, буд. 215 кв. 8, Чернівці, 49312",436 26 57,kkorbut@example.org
Шаблій,Юлія,Михайлівна,Жіноча,05.03.1960,Диригент,село Моспине,"набережна Евлії Челебі, буд. 02 кв. 75, Конотоп, 60908",729 17 00,lutsenkomykhailyna@example.com
Дергач,Петро,Олександрович,Чоловіча,30.04.1950,Географ,хутір Гребінка,"провулок Джинестрівська, буд. 7 кв. 99, Перечин, 10254",004 906-27-96,ctymchuk@example.net
Семенченко,Юлія,Дмитрівна,Жіноча,07.06.1983,Медик,хутір Сіверськодонецьк,"проспект Костанді 2-й, буд. 8 кв. 228, Амвросіївка, 40389",+380 78 988 03 11,iaremaivashchenko@example.org
Тригуб,Світлана,Іванівна,Жіноча,17.08.1958,Різноробочий,село Апостолове,"парк Лазурний 1-й, буд. 44, Тальне, 79725",005 948-45-19,qvernydub@example.org
Нестайко,Андрій,Сергійович,Чоловіча,30.06.1959,Ді-джей,селище Прилуки,"парк Перепечка, буд. 522 кв. 1, Жашків, 21937",+380 88 217-08-02,okhrim84@example.com
Атрощенко,Іван,Васильович,Чоловіча,07.03.1958,Публіцист,селище Вознесенськ,"парк Павла Чубинського, буд. 954, Пирятин, 93063",+380 59 392 53 92,vadymveres@example.net
Канівець,Дмитро,Іванович,Чоловіча,21.03.1945,Машиніст,село Радомишль,"площа Лазурний 1-й, буд. 5 кв. 08, Молочанськ, 42549",+380 79 864 32 39,romanenkonadiia@example.net
Христенко,Марія,Олександрівна,Жіноча,11.08.1947,Електрик,місто Ялта,"парк Рабіна Іцхака, буд. 0, Лубни, 73971",+380 04 311-16-75,semen28@example.com
Твердохліб,Віктор,Олександрович,Чоловіча,17.08.1992,Швачка,селище Олександрівськ,"узвіз Аеропортівський 5-й, буд. 1, Сколе, 70326",+380 21 619 46 72,amvrosii07@example.org
Забіла,Михайло,Васильович,Чоловіча,01.08.1987,Ботанік,село Добромиль,"площа Флотська, буд. 9 кв. 234, Сорокине, 93152",064 822-63-54,bohdannazasenko@example.org
Євтушок,Петро,Дмитрович,Чоловіча,10.08.1992,Сантехнік,село Судак,"набережна Серединський, буд. 7, Херсон, 96572",+380 72 841 22 63,rostyslav74@example.com
Ющенко,Петро,Андрійович,Чоловіча,01.11.1979,Сценарист,хутір Городище,"узвіз Літературна, буд. 2, Мала Виска, 59416",+380 91 387-99-66,herman75@example.net
Ґоляш,Марія,Олександрівна,Жіноча,12.12.1998,Археолог,місто Харцизьк,"проспект Текстильників, буд. 1 кв. 033, Решетилівка, 36719",229-98-67,leon77@example.net
Аронець,Світлана,Михайлівна,Жіноча,07.11.1951,Фермер,хутір Бахчисарай,"проспект Кропивницького, буд. 889 кв. 5, Перевальськ, 91655",964-38-05,kteslenko@example.org
Дацюк,Дмитро,Сергійович,Чоловіча,17.02.1997,Мовознавець,село Берислав,"сквер 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 65 кв. 769, Сімферополь, 38127",+380 77 057-52-80,obabii@example.net
Пустовіт,Дмитро,Олександрович,Чоловіча,20.10.1941,Біолог,село Шепетівка,"сквер Князівська, буд. 738, Новомиргород, 87947",388 52 73,hrechanykfedir@example.org
Перепелиця,Віктор,Олександрович,Чоловіча,02.03.1962,Бібліотекар,село Копичинці,"шосе Заводська 1-ша, буд. 18, Слов'янськ, 15557",088 397-81-28,myroslav68@example.org
Даниленко,Михайло,Васильович,Чоловіча,05.01.1981,Гірник,місто Вуглегірськ,"набережна Тополина, буд. 375, Теплодар, 64100",+380 90 753 98 49,rostyslav40@example.org
Твердохліб,Віктор,Дмитрович,Чоловіча,14.10.1991,Професор,селище Кагарлик,"проспект 1-й Академічний тупик, буд. 5, Жданівка, 57973",500-47-19,danylo86@example.org
Жайворон,Марія,Василівна,Жіноча,18.09.2000,Мовознавець,село Середина-Буда,"площа Транспортна, буд. 942, Бар, 68365",081 421-88-56,anastasiiabandura@example.net
Токар,Олександр,Олександрович,Чоловіча,26.09.1980,Геофізик,село Олевськ,"проспект 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 03, Косів, 07923",+380 12 493-30-53,zinchukvolodymyra@example.com
Забіла,Іван,Андрійович,Чоловіча,03.02.1959,Графік,село Бурштин,"парк Лінія 37-ма, буд. 269, Богуслав, 45886",089 203 76 64,andriiovychihnat@example.org
Приймак,Петро,Іванович,Чоловіча,17.08.1999,Дипломат,селище Моспине,"площа Новобазарний, буд. 8 кв. 31, Вараш, 30964",006 026 15 14,pfesenko@example.org
Жученко,Олена,Андріївна,Жіноча,12.02.1976,Перекладач,селище Підгородне,"сквер Дунайська, буд. 3 кв. 50, Енергодар, 04169",+380 08 004 62 61,khudiaksnizhana@example.com
Тесля,Іван,Михайлович,Чоловіча,13.10.1950,Музичний редактор,село Ірміно,"провулок Давида Ойстраха, буд. 8 кв. 970, Корець, 91809",+380 87 124 09 07,iakivsomko@example.org
Іващенко,Дмитро,Андрійович,Чоловіча,11.08.1947,Пекар,хутір Горішні Плавні,"провулок Дубова, буд. 8, Мостиська, 26825",064 553-26-69,zbabii@example.net
Негода,Віктор,Олександрович,Чоловіча,21.01.1996,Електрик,село Боково-Хрустальне,"набережна Добровольців, буд. 6, Армянськ, 65609",940 61 30,rdziuba@example.net
Теліженко,Іван,Михайлович,Чоловіча,30.06.1977,Державний службовець,місто Яворів,"парк Військово-морських сил, буд. 602, Середина-Буда, 60784",+380 74 700-60-94,zhuchenkomykhailo@example.net
Пушкар,Володимир,Дмитрович,Чоловіча,08.12.1951,Промисловець,селище Тульчин,"площа 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 83 кв. 0, Дніпрорудне, 72515",013-22-86,andriichukalla@example.net
Ґоляш,Дмитро,Михайлович,Чоловіча,02.02.1942,Диригент,хутір Заводське,"сквер Зелена гірка, буд. 308, Кремінна, 16533",315 38 86,derkachmarusia@example.org
Ющенко,Дмитро,Андрійович,Чоловіча,30.07.1938,Антрополог,селище Берислав,"шосе Байгородський, буд. 949, Валки, 50293",052 307-20-11,galagandmytro@example.com
Свириденко,Віктор,Сергійович,Чоловіча,10.05.1952,Провізор,місто Запоріжжя,"узвіз Балтиморська, буд. 85, Покров, 97446",+380 60 971 88 76,protsenkoavhustyn@example.org
Батуринець,Світлана,Олександрівна,Жіноча,23.01.1959,Епідеміолог,місто Перевальськ,"вулиця Гвоздична, буд. 35, Таврійськ, 80887",091 929-29-54,stepandemydenko@example.net
Єфименко,Тетяна,Дмитрівна,Жіноча,26.09.2001,Стиліст,місто Шахтарське,"вулиця Академіка Сахарова, буд. 8 кв. 30, Белз, 88897",+380 (36) 393-25-16,nataliia77@example.org
Кибкало,Віктор,Петрович,Чоловіча,19.03.1959,Археолог,селище Балта,"сквер Нафтовиків 2-й, буд. 816 кв. 01, Енергодар, 97260",646-20-58,iosypudovychenko@example.com
Штокало,Віктор,Васильович,Чоловіча,27.12.1940,Лікар,селище Горохів,"парк Рівності, буд. 079, Немирів, 40045",096 408-20-82,okovpak@example.org
Супруненко,Наталія,Андріївна,Жіноча,03.08.1948,Електромонтер,місто Кадіївка,"сквер Четверта, буд. 258 кв. 888, Пустомити, 55284",+380 39 205 77 45,maksymviter@example.com
Сиротенко,Тетяна,Іванівна,Жіноча,23.10.1997,Хімік,селище П'ятихатки,"набережна Тіниста, буд. 3 кв. 917, Кипуче, 29786",+380 64 922 03 38,sofiiashakhrai@example.org
Гайденко,Олександр,Андрійович,Чоловіча,28.04.1997,Головний меркшейдер,хутір Новий Буг,"шосе Вірського, буд. 717 кв. 600, Зимогір'я, 51659",265 10 17,vysochanoleksa@example.com
Копитко,Сергій,Дмитрович,Чоловіча,09.11.1984,Географ,селище Курахове,"провулок Опішнянський, буд. 518, Бердичів, 05555",081 822-45-04,pylyp83@example.net
Тягнибок,Сергій,Олександрович,Чоловіча,12.08.1959,Випробувач,місто Борзна,"узвіз Персикова, буд. 4 кв. 003, Тернопіль, 02698",+380 55 994-49-27,ada63@example.net
Цимбалюк,Сергій,Олександрович,Чоловіча,14.02.1940,Детектив,хутір Баранівка,"парк 21-й км Старокиївської дороги, буд. 54, Сорокине, 86661",+380 04 350 29 69,danylobezborodko@example.org
Христич,Тетяна,Дмитрівна,Жіноча,24.12.1985,Водій,хутір Брянка,"площа Деревообробний 2-й, буд. 222, Чигирин, 32448",+380 07 879-19-58,leopold34@example.org
Базавлученко,Василь,Олександрович,Чоловіча,11.08.1990,Кінолог,хутір Зіньків,"узвіз Вітчизняна, буд. 87 кв. 9, Світлодарськ, 53119",082 254-26-18,hbandera@example.org
Шинкаренко,Наталія,Іванівна,Жіноча,13.11.1986,Інженер,село Біляївка,"вулиця Західний 2-й, буд. 40 кв. 39, Турка, 88386",+380 32 017-10-05,danylo30@example.net
Чумаченко,Оксана,Іванівна,Жіноча,24.04.1993,Лікар,місто Запоріжжя,"узвіз Йозефа Прибіка, буд. 74 кв. 4, Нікополь, 87861",019 686 06 24,klymentpylypenko@example.com
Шахрай,Василь,Петрович,Чоловіча,18.07.1996,Менеджер,селище Сімферополь,"провулок Лиманний, буд. 684 кв. 014, Жовті Води, 49814",+380 (41) 004-23-05,korzherika@example.com
Аврамчук,Іван,Андрійович,Чоловіча,13.10.1999,Астрофізик,село Буськ,"вулиця Мерло, буд. 42, Вашківці, 53468",+380 (33) 975-85-80,zabashtaokseniia@example.net
Артимович,Петро,Михайлович,Чоловіча,06.01.2006,Водій,місто Бунге,"парк Висока, буд. 3, Рудки, 69640",094 848 93 49,parmendanchuk@example.com
Засуха,Олена,Дмитрівна,Жіноча,17.08.1980,Бібліотекар,селище Енергодар,"площа Київське, буд. 778 кв. 538, Малин, 65701",088 825 55 83,tverdokhlibvalentyn@example.com
Джунь,Іван,Іванович,Чоловіча,06.04.1954,Економіст,хутір Васильків,"набережна Миколи Вороного, буд. 104 кв. 74, Лубни, 87397",+380 94 614 34 34,ibaida@example.org
Гресь,Василь,Васильович,Чоловіча,02.11.1967,Євнух,хутір Покровськ,"сквер Ватманський, буд. 7, Борзна, 81733",428 52 99,kostiantynovsiienko@example.org
Ґерета,Михайло,Андрійович,Чоловіча,18.11.1967,Конструктор,місто Кременець,"площа Ванний, буд. 550, Маріуполь, 49979",043 993-88-08,edytachmil@example.org
Затула,Ірина,Василівна,Жіноча,31.10.1996,Машиніст,село Кальміуське,"сквер Локомотивний 1-й, буд. 5 кв. 477, Гірник, 18356",+380 03 922-67-82,vladyslavshamrai@example.net
Голобородько,Олена,Андріївна,Жіноча,06.08.1966,Мірошник,місто Боково-Хрустальне,"проспект Камишова, буд. 526 кв. 916, Волноваха, 54532",+380 36 263 57 95,feofanartym@example.net
Демиденко,Петро,Іванович,Чоловіча,12.03.1943,Астроном,місто Скадовськ,"набережна Гена Іоганна, буд. 0 кв. 80, Сокологірськ, 70190",+380 (50) 575-81-79,orysiaiarema@example.org
Баклан,Михайло,Дмитрович,Чоловіча,19.03.1943,Юрист,селище Березне,"сквер Восьмого Березня Лінія 1-ша, буд. 99, Знам'янка, 02456",+380 (79) 537-18-44,btokar@example.net
Артюх,Андрій,Васильович,Чоловіча,14.10.1977,Правник,місто Синельникове,"шосе Пассіонарії, буд. 04 кв. 948, Луцьк, 10373",+380 70 600-48-10,eduard85@example.com
Шаблій,Олександр,Іванович,Чоловіча,21.04.1979,Кінолог,село Донецьк,"провулок Аеродромна, буд. 2, Славута, 19316",+380 (52) 768-48-88,jmalyshko@example.com
Верменич,Сергій,Дмитрович,Чоловіча,31.01.1952,Менеджер,хутір Лебедин,"сквер Лінія 30-та, буд. 703 кв. 1, Перещепине, 33461",+380 00 625 13 72,bohuslava05@example.com
Затовканюк,Віктор,Васильович,Чоловіча,29.09.1976,Публіцист,місто Яремче,"провулок Степова, буд. 964, Рогатин, 54444",+380 82 772 80 75,iavramenko@example.org
Ґжицький,Михайло,Михайлович,Чоловіча,18.07.1947,Ріелтор,хутір Новий Розділ,"провулок Моторний 3-й, буд. 33, Сторожинець, 15281",+380 76 629-02-31,alevtynkopytko@example.com
Бандера,Василь,Олександрович,Чоловіча,18.04.1965,Електрослюсар,хутір Часів Яр,"проспект Картамишевська, буд. 7, Городня, 52146",021 112 21 11,sofiiabaranyk@example.com
Оробець,Андрій,Васильович,Чоловіча,20.06.1938,Гінеколог,місто Черкаси,"площа Літня, буд. 6 кв. 98, Долина, 35696",+380 49 938-35-73,orest60@example.com
Малишко,Анна,Андріївна,Жіноча,26.03.1941,Географ,селище Антрацит,"парк Скидановська, буд. 988, Здолбунів, 04863",+380 (92) 430-00-00,rfesenko@example.com
Заєць,Дмитро,Михайлович,Чоловіча,06.04.1970,Піаніст,місто Деражня,"узвіз Неплія, буд. 1 кв. 27, Мелітополь, 39295",523-25-10,ihorsmyk@example.org
Лавренко,Михайло,Васильович,Чоловіча,10.09.1996,Різноробочий,село Васильків,"сквер Балтський 6-й, буд. 380 кв. 06, Вільнянськ, 91581",531 22 50,viktoriiabebeshko@example.net
Засядько,Михайло,Михайлович,Чоловіча,02.03.2001,Художник,хутір Ічня,"вулиця Кордонний, буд. 44, Тернопіль, 71653",+380 62 753-74-98,civanchenko@example.com
Верменич,Тетяна,Іванівна,Жіноча,28.04.1987,Публіцист,селище Ірміно,"набережна Хаджибейський 3-й, буд. 33 кв. 98, Кодима, 76656",+380 09 249-56-03,danna79@example.com
Вдовиченко,Тетяна,Василівна,Жіноча,18.07.1961,Модельєр,селище Коломия,"проспект Художника Федорова, буд. 825 кв. 2, Білогірськ, 69650",+380 23 885-17-14,serhiipustovit@example.net
Швачка,Ірина,Дмитрівна,Жіноча,21.05.2008,Актор,селище Кальміуське,"вулиця Іспанський, буд. 43, Славута, 85556",+380 32 044-77-23,orkhypvlokh@example.com
Батюк,Петро,Дмитрович,Чоловіча,22.11.1950,Співак,село Ізяслав,"шосе Новаторів, буд. 6 кв. 1, Ромни, 67764",+380 65 657-73-74,kyrylo06@example.net
Балабан,Василь,Дмитрович,Чоловіча,07.03.1967,Юрист,місто Сміла,"парк Виноградна 3-тя, буд. 481 кв. 47, Яремче, 27804",968-04-81,yokhrimenko@example.net
Єременко,Олександр,Петрович,Чоловіча,11.04.2006,Письменник,хутір Українка,"проспект Лазурний 3-й, буд. 0 кв. 0, Мена, 69176",+380 38 975-70-43,bshyian@example.com
Конопленко,Дмитро,Михайлович,Чоловіча,12.06.1996,Конструктор,місто Переяслав,"вулиця Заводська 2-га, буд. 25, Снігурівка, 89355",137 48 64,tetiana90@example.net
Забашта,Дмитро,Олександрович,Чоловіча,06.01.1971,Дерун,село Прип'ять,"провулок Ромашкова, буд. 3, Пустомити, 35675",943 35 84,piatachenkomariia@example.com
Семенченко,Тетяна,Дмитрівна,Жіноча,25.05.1945,Швачка,хутір Новий Розділ,"вулиця Соляний 3-й, буд. 44, Вільнянськ, 80841",052 815 67 65,qhohol-ianovskyi@example.com
Луценко,Петро,Олександрович,Чоловіча,06.03.1949,Провізор,місто Ніжин,"набережна Альпіністів, буд. 608, Нова Каховка, 10819",+380 79 561-76-94,xsliusar@example.net
Рак,Віктор,Михайлович,Чоловіча,05.04.1999,Психолог,хутір Городок,"шосе Спаський, буд. 52, Середина-Буда, 17212",027 829-93-07,okseniiakozachenko@example.net
Каденюк,Дмитро,Андрійович,Чоловіча,14.03.1967,Дерун,хутір Ямпіль,"вулиця Зернова, буд. 73 кв. 67, Луцьк, 37750",+380 53 475-68-75,shtokalonadiia@example.org
Харченко,Віктор,Андрійович,Чоловіча,28.09.1974,Біолог,місто Дружківка,"сквер Одеський, буд. 35, Татарбунари, 08506",090 962 18 80,mykhaliukmykolai@example.org
Колодуб,Михайло,Олександрович,Чоловіча,09.04.1941,Музикознавець,село Старий Самбір,"площа Круговий, буд. 0, Суми, 34219",041-50-76,dashkevychiaroslav@example.org
Теліженко,Віктор,Олександрович,Чоловіча,19.12.1959,Кінорежисер,село Фастів,"набережна 1-ша Лінія Марії Демченко, буд. 102 кв. 0, Кам'янка (Черкаська область), 18497",+380 (63) 994-58-82,arkadiiudovychenko@example.net
Свириденко,Віктор,Олександрович,Чоловіча,30.08.2002,Ріелтор,село Токмак,"проспект Вершинна, буд. 320, Енергодар, 33079",+380 31 782-43-05,vmykhailychenko@example.org
Забіла,Михайло,Петрович,Чоловіча,21.01.1962,Модельєр,село Синельникове,"проспект Французький, буд. 163 кв. 1, Алмазна, 65297",287 33 01,zinchenkoviacheslav@example.net
Гавриш,Віктор,Іванович,Чоловіча,30.12.1989,Дерун,селище Гірник,"площа Багринова, буд. 50 кв. 792, Вижниця, 35961",031 185 43 38,ckalchenko@example.com
Ґерус,Оксана,Петрівна,Жіноча,08.03.1966,Секретар,місто Євпаторія,"вулиця Литовська, буд. 859, Снятин, 96733",+380 71 049-38-76,tetiana08@example.org
Гайденко,Марія,Василівна,Жіноча,04.09.1992,Дизайнер,хутір Залізне,"провулок Софії Перовської, буд. 46 кв. 60, Обухів, 89779",+380 (04) 006-20-89,myroslav97@example.net
Базилевич,Андрій,Іванович,Чоловіча,19.01.2005,Палеонтолог,місто Перевальськ,"вулиця Поштова, буд. 717 кв. 319, Дунаївці, 53546",+380 86 297-76-95,tvashchenko-zakharchenko@example.com
Тягнибок,Світлана,Василівна,Жіноча,05.07.1966,Дипломат,хутір Моспине,"сквер Соляний 4-й, буд. 6, Суми, 36580",091 086-35-96,tshapoval@example.net
Тригуб,Анна,Василівна,Жіноча,11.03.1984,Бухгалтер,місто Нова Каховка,"шосе Обільний 1-й, буд. 33, Зеленодольськ, 81470",346-69-93,orlykievhen@example.org
Дерегус,Василь,Олександрович,Чоловіча,07.03.1951,Біолог,селище Ічня,"сквер Перша, буд. 469 кв. 93, Моршин, 89161",+380 82 845 35 38,balabanbohuslav@example.net
Ляшко,Тетяна,Іванівна,Жіноча,14.10.1978,Круп'є,місто Хоростків,"парк Аеродромний 2-й, буд. 18 кв. 2, Бучач, 16593",097 622-71-81,nmiroshnychenko@example.com
Гаврюшенко,Володимир,Дмитрович,Чоловіча,26.04.1941,Конструктор,село Шахтарськ,"сквер Залізничний 3-й, буд. 343 кв. 4, Стебник, 15476",055 820-44-16,zaichenkobohdanna@example.net
Чорновіл,Олена,Петрівна,Жіноча,18.09.1960,Нотаріус,село Ланівці,"вулиця Ірини Жиленко, буд. 88, Мар'їнка, 98945",+380 03 587 35 13,jduplii@example.com
Тесля,Анна,Василівна,Жіноча,16.02.2004,Фармацевт,місто Кременець,"провулок Кустанайський 2-й, буд. 258 кв. 17, Рожище, 54659",+380 (64) 600-95-66,trokhym78@example.org
Гунько,Катерина,Михайлівна,Жіноча,27.05.1965,Геолог,селище Дунаївці,"шосе Байгородський, буд. 5, Стебник, 97083",653 87 33,zynoviitsarenko@example.com
Авдєєнко,Оксана,Михайлівна,Жіноча,08.07.1978,Локсмайстер,село Комарно,"вулиця Олешківська, буд. 24 кв. 29, Тетіїв, 03511",+380 40 595-72-09,arsenbazavluchenko@example.net
Гресь,Михайло,Іванович,Чоловіча,01.08.1958,Кушнір,село Шепетівка,"площа Амбулаторний, буд. 5, Боярка, 20714",009-36-30,chaidamaka@example.com
Жук,Василь,Михайлович,Чоловіча,20.07.1952,Архітектор,місто Корець,"шосе Цегляна, буд. 11 кв. 80, Чугуїв, 27724",+380 25 980-52-42,sahalpavlo@example.com
Козаченко,Юлія,Михайлівна,Жіноча,10.10.2000,Науковець,село Лохвиця,"площа Нерубайська, буд. 71 кв. 797, Кам'янець-Подільський, 09017",+380 38 287-33-11,onufriienkooleksandr@example.net
Філіпенко,Катерина,Сергіївна,Жіноча,20.09.1953,Краєзнавець,хутір Львів,"провулок Рачкова, буд. 08 кв. 06, Ялта, 45910",+380 47 184-15-24,artymyshynmarusia@example.com
Вітер,Дмитро,Андрійович,Чоловіча,23.07.1962,Різноробочий,село Надвірна,"провулок Джевецького, буд. 6, Рожище, 45942",407-46-33,vitaliichumak@example.org
Бандура,Василь,Петрович,Чоловіча,06.03.1996,Дизайнер,місто Ялта,"шосе Дмитра Сигаревича, буд. 053 кв. 7, Феодосія, 45795",089 171-10-80,ppustovit@example.org
Єщенко,Михайло,Сергійович,Чоловіча,15.01.2008,Журналіст,село Севастополь,"площа Східчастий, буд. 6, Сновськ, 43488",+380 30 025-49-36,petroriaboshapka@example.com
Удовенко,Михайло,Іванович,Чоловіча,09.04.1941,Маркетолог,селище Краматорськ,"узвіз Михайла Жука, буд. 940 кв. 8, Боярка, 27583",+380 14 166 42 61,teodor94@example.com
Бабиченко,Тетяна,Андріївна,Жіноча,08.09.1961,Стропальник,селище Бориспіль,"провулок Шевченка парк, буд. 956 кв. 50, Голубівка, 19453",036 812-55-41,piurchuk@example.com
Акименко,Юлія,Василівна,Жіноча,09.03.2002,Фармацевт,село Кам'янка-Бузька,"площа Ватманський, буд. 048 кв. 8, Іловайськ, 03769",202 97 06,leonid66@example.net
Фурс,Тетяна,Андріївна,Жіноча,07.02.1964,Астроном,селище Ізюм,"парк 8-ма Лінія Дачі Ковалевського, буд. 1 кв. 463, Шумськ, 59630",939 78 07,arkadiikolodub@example.org
Якименко,Тетяна,Петрівна,Жіноча,28.07.1959,Археолог,хутір Олевськ,"узвіз Пастера, буд. 9 кв. 727, Тернівка, 16868",+380 (98) 974-29-62,lukian86@example.org
Архимович,Анна,Дмитрівна,Жіноча,08.04.1984,Бібліограф,місто Новодністровськ,"проспект Дністровська, буд. 10 кв. 7, Бар, 08070",354 92 90,derhachliudmyla@example.org
Чайка,Олена,Сергіївна,Жіноча,10.08.1988,Дерун,село Коростишів,"шосе Матроський, буд. 5, Калуш, 32601",026 414-38-73,jteslenko@example.net
Джус,Сергій,Михайлович,Чоловіча,17.04.1972,Секретар,селище Богуслав,"узвіз Отонівський, буд. 1 кв. 38, Хорол, 98887",039 256-01-32,maksymshvachka@example.net
Данькевич,Ірина,Михайлівна,Жіноча,03.06.1952,Педагог,село Молочанськ,"шосе Ялинкова, буд. 227, Чорнобиль, 22523",+380 (81) 558-88-62,iefremudovenko@example.net
Москаль,Наталія,Василівна,Жіноча,22.01.1950,Біолог,селище Вознесенівка,"провулок Василя Берладяну, буд. 903, Довжанськ, 69998",324-42-76,shvachkokamilla@example.org
Данько,Іван,Андрійович,Чоловіча,01.07.1991,Реставратор,місто Апостолове,"парк Селищний, буд. 18, Лутугине, 62610",+380 38 500-98-78,lizaarkhymovych@example.com
Шеремета,Михайло,Андрійович,Чоловіча,09.01.1986,Геолог,село Могилів-Подільський,"парк Зелена, буд. 078, Сокологірськ, 51164",+380 61 513-01-72,nestor20@example.org
Забіла,Світлана,Василівна,Жіноча,20.10.2003,Ювелір,селище Очаків,"набережна Йосипа Тимченка, буд. 32 кв. 096, Кременець, 36288",+380 27 239 36 93,ruslaniaremkiv@example.com
Швачка,Дмитро,Васильович,Чоловіча,02.12.2002,Історик,хутір Новий Калинів,"проспект Казковий, буд. 611, Южноукраїнськ, 83970",+380 54 916-52-36,zatulaboleslav@example.net
Карпа,Дмитро,Андрійович,Чоловіча,05.04.1956,Журналіст,село Рогатин,"шосе Пантелеймонівська, буд. 7, Стрий, 69584",709-89-30,hrechanykfrants@example.org
Ейбоженко,Володимир,Іванович,Чоловіча,17.03.1966,Локсмайстер,село Біляївка,"проспект Саксаганського, буд. 75, Білозерське, 05196",828-71-26,havryletsnestor@example.com
Дурдинець,Анна,Михайлівна,Жіноча,28.04.1949,Будник,місто Волочиськ,"сквер Травневий 1-й, буд. 87 кв. 541, Сніжне, 86570",888-17-73,kabanenkohavrylo@example.net
Кибкало,Олександр,Петрович,Чоловіча,02.12.1964,Економіст,хутір Вознесенськ,"провулок Туристська, буд. 350, Кам'янське, 14890",+380 97 949-64-27,usaienko@example.net
Рубець,Андрій,Андрійович,Чоловіча,29.06.2003,Пілот,місто Верхньодніпровськ,"набережна Лазурний 4-й, буд. 413, Ржищів, 16886",+380 74 442-10-00,petro56@example.com
